pali	grammar_y	meaning_y	from_y	exists
uppajjiyati	passive present 3 singular	is brought into being, is produced; is made available	uppajjati	right_only
uppaṭipāṭikasutta	neuter	“different order sutta” (title)		right_only
uppaṇḍu	adjective	very yellowish; very pale		right_only
uppaṇḍuppaṇḍukajāta	adjective	extremely yellow; extremely pale	uppaṇḍu	right_only
uppalagandhapaccatthika	masculine	an enemy who is an “uppalagandha” robber (?)	uppala	right_only
uppalavati	present 3 singular	swims (up); floats, floats around; leaps up, jumps; is frisky, excited	['uppilavati', 'upplavati', 'uplavati']	right_only
uppāṭaka	masculine	an insect		right_only
uppāṭesi	aorist 3 singular	tore asunder; rooted out; skinned		right_only
uppādeta	masculine	one who brings into being, who produces		right_only
uppilavati	present 3 singular	swims (up); floats, floats around; leaps up, jumps; is frisky, excited	['uppalavati', 'upplavati', 'uplavati']	right_only
uppilāvitatta	neuter abstr	elation; exhilaration	uppilavati	right_only
upplavati	present 3 singular	swims (up); floats, floats around; leaps up, jumps; is frisky, excited	['uppilavati', 'upplavati', 'uplavati']	right_only
upphāletvā	indeclinable	splitting, opening up		right_only
ubbaṭṭayati	causative present 3 singular	massages, rubs (with unguents)	ubbaṭṭeti	right_only
ubbādhanā	feminine	oppression, harassment; paining		right_only
ubbāhapetabba	future passive participle adjective	causing to carry		right_only
ubbāhapeti	causative present 3 singular	causes to carry; has (the harvest) gathered	ubbāhāpeti	right_only
ubbāhāpetabba	future passive participle adjective	causing to carry		right_only
ubbāhāpeti	causative present 3 singular	causes to carry; has (the harvest) gathered	ubbāhapeti	right_only
ubbāhikā	feminine	the reference (of a dispute) to a committee of selected bhikkhus		right_only
ubbāheti	causative present 3 singular	lifts up; picks out		right_only
ubbijati	present 3 singular	is agitated, shudders with alarm; is afraid of (usually + genitive); shrinks from, shies away from	['ubbijjati', 'ubbijjeti']	right_only
ubbijjeti	present 3 singular	is agitated, shudders with alarm; is afraid of (usually + genitive); shrinks from, shies away from	['ubbijati', 'ubbijjati']	right_only
ubbinaya	adjective & neuter	contrary to the Vinaya; what is not the Vinaya		right_only
ubbilla	neuter	exhilaration, excitement		right_only
ubbegauttāsabhayāpanūdana	adjective	driving away alarm and fear	ubbega	right_only
ubbejitar	masculine	one who frightens or intimidates	['ubbijjati', 'ubbejeta(r)']	right_only
ubbejeta	masculine	one who frightens or intimidates	['ubbijjati', 'ubbejeta(r)']	right_only
ubbedhena	instrumental	in height		right_only
ubbedhena	instrumental	in depth		right_only
ubbhakkhaka	adjective (neuter)	what is above the collarbone	ubbhaṁ	right_only
ubbhaṃ	indeclinable	upwards; in height; above		right_only
ubbhajānumaṇḍala	adjective & neuter	above the kneecap; what is above the kneecap	ubbhaṁ	right_only
ubbhajānumaṇḍalaṃ	adverb	above the kneecap	ubbhajānumaṇḍala	right_only
ubbhajānumaṇḍalikā	adjective (feminine)	allowing contact above the kneecap	ubbhajānumaṇḍala	right_only
ubbhaṇḍita	adjective	loaded, burdened		right_only
ubbhamukha	adjective	facing upwards; turned upwards, upstream	ubbhaṁ	right_only
ubbhindati	present 3 singular	breaks through (transitive); breaks through, bursts through (intrans.); springs up		right_only
ubbhujitabba	future passive participle adjective (neuter). impersonal	will pull up (one’s clothing)		right_only
ubbhujitvā	absolutive	having pulled up (one’s clothes)	ubbhujati	right_only
ubbhujitvāna	absolutive	having pulled up (one’s clothes)	ubbhujati	right_only
ubhatokāja	masculine	a carrying pole with a load at each end	ubhato	right_only
ubhatodaṇḍak	adjective	with a handle at both ends	ubhato	right_only
ubhatopassa	masculine, neuter	both sides	ubhato	right_only
ubhatobhāge	adverb	on both sides, in both respects	ubhato	right_only
ubhatovaṇṭikamālā	feminine	a garland with a stalk on both sides	ubhato	right_only
ubhatovyañjana	mf	having the sexual characteristics of both sexes; hermaphrodite	ubhato	right_only
ubhatovyañjanaka	adjective (masculine/feminine)	having the sexual characteristics of both sexes; hermaphrodite	ubhato	right_only
ubhayaṃ	accusative adverb	also, as well (usually following ca)	ubhaya	right_only
ubhayaṃsa	masculine	both parts, both sides	ubhaya	right_only
ubhayaṃsabhāvita	adjective	developed in both parts; practiced for both aspects or objects; (ubhayaṁsa)		right_only
ubhayacchikāṇa	adjective	blind in both eyes	ubhaya	right_only
ubhayato	ablative adverb	as to both; on both sides	ubhaya	right_only
ubhayamantare	indeclinable	between the two; within the two	ubhaya	right_only
ubhayena	instrumental adverb	on both sides; in both ways	ubhaya	right_only
ubhosaṅga	masculine	both attachments, attachment to both	ubho	right_only
ummaṇga	masculine	emergence on the surface; (emergence of) an idea, conception; initial thought	ummagga	right_only
ummaddāpeti	causative present 3 singular	causes (someone) to massage or rub (with unguents)	ummaddeti	right_only
ummaddeti	present 3 singular	massages, rubs (with unguents)		right_only
ummasati	present 3 singular	touches; strokes in an upward direction; lifts		right_only
ummasanā	feminine	stroking upwards; lifting		right_only
ummādananta	adjective	ending in causing intoxication, with intoxication as its end	ummādana	right_only
ummāpuppha	masculine	the flax flower		right_only
ummī	feminine	(also ūmi and ūmī) a wave, a billow; a ripple		right_only
ummīlayati	causative present 3 singular	causes (the eyes) to open; opens (the eyes) wide	ummīleti	right_only
ummujjamānaka	m(fn)	(one) who emerges, is raising his head, popping his head up	ummujjati	right_only
ummūlaṃ karoti	phrase	uproots; makes with its roots upward	['ummūla', 'ummūleti']	right_only
uyyamati	present 3 singular	raises; exerts oneself		right_only
uyyuta	past participle adjective	preserving, active, intent on	uyyamati	right_only
uyyojayati	causative present 3 singular	stimulates, rouses to action; makes go; sends out, sends away, dismisses	['uyyojeti', 'uyyuñjati']	right_only
uyyodhikā	feminine	a battle; a military exercise; (or a battlefield(?))		right_only
urattāḷī	indeclinable	beating one’s own breast	ura(s)	right_only
ura	neuter (& masculine)	the chest, the breast		right_only
urūḷhava	adjective	who has carried a weight or burden; fit to carry a burden; large, strong	urūḷhava(t)	right_only
urūḷhavat	adjective	who has carried a weight or burden; fit to carry a burden; large, strong	urūḷhava	right_only
ulāra	adjective	lofty, great; excellent, best; noble, illustrious; eminent	ulāra	right_only
ullapana	adjective	flattering; deceptive		right_only
ullitavalitta	adjective	twice plastered; plastered inside and out	ullita	right_only
ulloka	masculine	an awning; a ceiling of cloth		right_only
ulloka	masculine	a cloth stretc.hed over a bedstead (below the mattress)		right_only
ullokayati	present 3 singular	looks up, looks up at; looks to	ulloketi	right_only
uḷūka	masculine	an owl		right_only
uḷūkapakkha	masculine	a garment made of owls’ wing feathers	['uḷūkapakkhika', 'uḷūka']	right_only
uḷūkapakkkhika	masculine	a garment made of owls’ wing feathers	['uḷūkapakkha', 'uḷūka']	right_only
ullaṅghayati	causative present 3 singular	makes jump up; raises	ullaṅgheti	right_only
uviṭṭha	adjective	seated; (or having entered)		right_only
usīranāḷa	neuter ~i, feminine	an usīra stalk or fiber	usīra	right_only
usuyyaka	adjective (f. -ikā)	discontented, envious	usūyaka	right_only
usuyyati	present 3 singular	is discontented, resentful (at the merits or achievements of another); is jealous, is envious (of usually genitive/dative)	usūyati	right_only
usuyyā	feminine	discontent (at the merits or achievements of another); envy, jealousy	usūyā	right_only
usuloma	adjective	with arrows for hair	usu	right_only
usman	masculine	heat, glow; ardor	usmā	right_only
usma	masculine	heat, glow; ardor	usmā	right_only
usmanudaka	neuter	hot water, steaming water	usma(n)	right_only
ussakkati	present 3 singular	moves up, rises; moves forward, advance; progress	ussukkati	right_only
ussaṅki	adjective	fearful, apprehensive; distrustful		right_only
ussaṅkitaparisaṅkita	adjective	doubted and distrusted		right_only
ussajitvā	absolutive	having let go, let loose; having quit, abandoned	ussajjitvā	right_only
ussaṭa	past participle adjective	moving away, slipping away; come from, emerged; possibly also: great, high		right_only
ussayavādikā	(m)f	contentious or violent in speech; argumentative, seeking litigation		right_only
ussādanā	feminine ~a, neuter	raising, exalting; praise		right_only
ussādanā	feminine ~a, neuter	noise, tumult		right_only
ussādita	past participle adjective	lifted (on to), beached; piled up	ussādeti	right_only
ussādiyati	passive present 3 singular	is too plentiful	ussādeti	right_only
ussādiyati	passive present 3 singular	is removed	ussādeti	right_only
ussādetabba	future passive participle adjective	to be praise	ussīdati	right_only
ussādetar	masculine	one who exalts, who praises		right_only
ussādeta	masculine	one who exalts, who praises		right_only
ussāpayati	causative present 3 singular	raises; erects; lifts up	ussāpeti	right_only
ussārayati	causative present 3 singular	expels; sends away, dismisses	ussāreti	right_only
ussārayati	causative present 3 singular	raises, lifts; moves	ussāreti	right_only
ussāvana	neuter	proclaiming, declaring aloud		right_only
ussāvanantikā	adjective (feminine)	(a place for storage, kappiyabhūmi or kappiyakuṭi) authorized by a declaration (while it is being built), whose erection is coterminous with a declaration	ussāvana	right_only
ussāhana	neuter ~ā, feminine	exertion, resolution		right_only
ussūrabhatta	adjective	whose meal is late in the day	ussūra	right_only
usseḷeti	present 3 singular	(prob.) whistles		right_only
ussoḷhika	feminine	great energy		right_only
ūnakatikkhatuṃ	indeclinable	less than three times	ūnaka	right_only
ūnakadvatikkhatuṃ	indeclinable	less than two or three times	['ūnakadvitikkhatuṁ', 'ūnaka']	right_only
ūnakadvitikkhatuṃ	indeclinable	less than two or three times	['ūnakadvatikkhatuṁ', 'ūnaka']	right_only
ūnadasavassa	adjective	(one) less than ten years’ standing	ūna	right_only
ūnudara	adjective	with unfilled belly; whose stomach is not (completely) full	['ūnūdara and ūnodara', 'ūna']	right_only
ūnodara	adjective	with unfilled belly; whose stomach is not (completely) full	['ūnudara and ūnūdara', 'ūna']	right_only
ūmī	feminine	(also ūmi and ummī) a wave, a billow; a ripple		right_only
ūraṭṭhika	neuter	the thighbones	['ūruṭṭhika', 'ūru']	right_only
ūrantarikā	feminine	the area between the thighs	['ūruntarikā', 'ūru']	right_only
ūrutthambha	masculine	paralysis of the thighs (through fear)	['ūrukkhambha', 'ūru']	right_only
ūruntarikā	feminine	the area between the thighs	['ūrantarikā', 'ūru']	right_only
ūrubalī	adjective	strong in the thighs, with strong thighs	ūru	right_only
ūrubali	adjective	strong in the thighs, with strong thighs	ūru	right_only
ekadhippāya	masculine & adjective	single interpretation; a single wish or intention; what is meant or intended for one; having a single wish or intention; having a single interpretation, conveying only one sense	eka	right_only
ekaṃsabhavita	adjective	developed in one part; practiced for one aspect	ekaṁsa	right_only
ekaṃsavāda	adjective	speaking with absolute certainty; having absolute views	ekaṁsa	right_only
ekaṃsavyākaraṇiya	adjective	answerable; to be answered with certainty, or with an absolute affirmation	ekaṁsa	right_only
ekagārika	neuter	attacking and robbing isolated houses	eka	right_only
ekagārika	neuter	taking alms only from one house	eka	right_only
ekaguṇaṃ	indeclinable	once	eka	right_only
ekaṅgadassī	adjective	seeing only one part, one aspect	ekaṅga	right_only
ekaṅgadassi	adjective	seeing only one part, one aspect	ekaṅga	right_only
ekaṅgahīna	adjective	deficient in one respect; lacking one attribute	ekaṅga	right_only
ekacariyā	feminine	going about or living alone, solitariness; a solitary life	eka	right_only
ekacāri	adjective	going about or living alone; solitary	eka	right_only
ekaccaasassatika	adjective	believing in the non-eternality of some things	ekacca	right_only
ekaccasassatika	adjective	believing in the eternality of some things; professing partial eternalism	ekacca	right_only
ekaccika	adjective	single, of a single thickness	ekacciya	right_only
ekachiggala	adjective	having one hole	['eka', 'ekacchiggaḷa']	right_only
ekachiggaḷa	adjective	having one hole	['eka', 'ekacchiggala']	right_only
ekajāla	adjective	a single mass of flames; being a single mass of flames	eka	right_only
ekatokāja	masculine	a carrying pole with a load at one end	ekato	right_only
ekatovaṇṭikamālā	feminine	a garland with stalk(s) on one side	ekato	right_only
ekatoupasampanna	adjective	ordained in (only) one saṅgha)	ekato	right_only
ekattakāya	adjective	having bodies of the same nature, having uniform bodies	ekatta	right_only
ekattanirata	adjective (or neuter)	devoted to (or devotion to) solitariness or unity	ekatta	right_only
ekattavāsa	masculine	living together	ekatta	right_only
ekattasaññī	adjective	having a notion of unity or identity; (ekattasaññi(n))	ekatta	right_only
ekattasaññī	adjective	having perceptions or notions of the same nature; (ekattasaññi(n))	ekatta	right_only
ekattasaññi	adjective	having a notion of unity or identity; (ekattasaññi(n))	ekatta	right_only
ekattasaññi	adjective	having perceptions or notions of the same nature; (ekattasaññi(n))	ekatta	right_only
ekattiṃsa	number & adjective	(number) 31	['eka', 'ekattimsā', 'ekatimsā']	right_only
ekattiṃsa	number & adjective	(adjective) 31st	['eka', 'ekattimsā', 'ekatimsā']	right_only
ekattimsā	number & adjective	(number) 31	['eka', 'ekatiṁsa', 'ekattiṁsa']	right_only
ekattimsā	number & adjective	(adjective) 31st	['eka', 'ekatiṁsa', 'ekattiṁsa']	right_only
ekatimsā	number & adjective 	(number) 31	['eka', 'ekatiṁsa', 'ekattiṁsa']	right_only
ekatimsā	number & adjective 	(adjective) 31st	['eka', 'ekatiṁsa', 'ekattiṁsa']	right_only
ekadvīhikā	feminine	one day; two days etc.; after one or two days	eka	right_only
ekadhītikā	feminine	an only daughter	eka	right_only
ekanavuta	adjective	91st	eka	right_only
ekanavutikappa	adjective	the 91st eon	eka	right_only
ekantaṃkusalāyatika	adjective	(according to commentary) coming from what is absolutely good, resulting form what is good; or perhaps; producing what is absolutely good in the future	ekantaṁ	right_only
ekantaṃgata	adjective	with utter devotion or certainty; taking one side; following one alternative	ekantaṁ	right_only
ekantaṃgatalomī	masculine	(a bed with) a kind of rug or covering	['ekantaṁgatalomī', 'ekantaṁgata']	right_only
ekantaṃgatalomi	masculine	(a bed with) a kind of rug or covering	['ekantaṁgatalomī', 'ekantaṁgata']	right_only
ekantaṃgatalomī	feminine	(a bed with) a kind of rug or covering	['ekantaṁgatalomi(n)', 'ekantaṁgata']	right_only
ekantarīka	feminine	an interval of one; aṁ, -āya, with something between; with an interval of one (year); alternately	eka	right_only
ekantarīkaṃ	indeclinable	with something between; with an interval of one (year); alternately	ekantarīka	right_only
ekantarīyā	indeclinable	with something between; with an interval of one (year); alternately	ekantarīka	right_only
ekapariyākata	adjective	wound around once	eka	right_only
ekapalāsika	adjective	with a single layered sole	eka	right_only
ekapassayika	adjective	sleeping on one side only	eka	right_only
ekabīji	adjective (masculine)	‘having one seed’, the most advanced type of sotāpanna, who will become an arahat in his next life as a man	eka	right_only
ekamaṃsakhala	masculine, neuter	a single mash or mass of flesh	eka	right_only
ekamana	adjective	fixing the mind upon one thing; attentive	eka	right_only
ekamūlaka	adjective	(what is) based on one item; (a statement or exposition) concerned with one item	['ekamūlika', 'eka']	right_only
ekamūlika	adjective	(what is) based on one item; (a statement or exposition) concerned with one item	['ekamūlaka', 'eka']	right_only
ekamante	adverb	apart, at a distance; in private, on one’s own; in a solitary place	eka	right_only
ekamekaṃ	accusative adverb	one by one; singly	eka	right_only
ekarukkhika	adjective	made from one tree	eka	right_only
ekavatthuka	adjective	having the same basis or ground; relating to the same matter	eka	right_only
ekavaraka	adjective	the one and only husband	eka	right_only
ekavassa	adjective	of one year’s standing; having been ordained for one year	eka	right_only
ekavassaṃ	adjective	for one year; in one year	ekavassa	right_only
ekavācika	neuter ~ā, feminine	a single utterance; a single proclamation	eka	right_only
ekavihāri	adjective	living alone; solitary	eka	right_only
ekavīsa	number	21	['ekavīsaṁ', 'eka']	right_only
ekavīsaṃ	number	21	['ekavīsa', 'eka']	right_only
ekasaṭṭhi	feminine number	61	eka	right_only
ekasata	neuter	101 or 100	eka	right_only
ekasattati	neuter	71	eka	right_only
ekasārīrika	adjective (feminine)	relating to one body; connected with one body	eka	right_only
ekāki	adjective	alone, solitary		right_only
ekākika	adjective	alone, solitary	ekākiya	right_only
ekārāmatā	feminine abstr	delight in solitude	ekā	right_only
ekāsanī	adjective	eating only at one sitting each day; (or possibly: sitting alone)	eka	right_only
ekāsani	adjective	eating only at one sitting each day; (or possibly: sitting alone)	eka	right_only
ekāhaṃ	accusative adverb	for one day, during one day	eka	right_only
ekāhena	instrumental adverb	in one day, in a single day; during that same day	eka	right_only
ekāhenamata	adjective	who has been dead for one day, being a day old corpse	ekāhena	right_only
ekindriya	adjective	having only one sense faculty	eka	right_only
ekuttarika	neuter ~ā, feminine	a section of sets increasing by one	['ekuttariya', 'eka']	right_only
ekuttariya	neuter ~ā, feminine	a section of sets increasing by one	['ekuttariya', 'eka']	right_only
ekūnatiṃsaṃ	number	29	ekūnatiṁsa	right_only
ekūnatiṃsaṃkkhattuṃ	indeclinable	29 times		right_only
ekūnapaṇṇāsa	feminine number	49	['ekūnapaññāsa', 'ekūnapaññāsaṁ']	right_only
ekūnapaññāsa	feminine number	49	['ekūnapaṇṇāsa', 'ekūnapaññāsaṁ']	right_only
ekūnapaññāsaṃ	feminine number	49	['ekūnapaṇṇāsa', 'ekūnapaññāsa']	right_only
ekūnavīsa	feminine number	19	['ekūnavīsati', 'ekūnavīsaṁ']	right_only
ekūnavīsaṃ	feminine number	19	['ekūnavīsati', 'ekūnavīsa']	right_only
ekodakībhhūta	adjective & neuter	being all water; covered in water; (a world) consisting of or covered in water, nothing but water	eka	right_only
ekodikaroti	present 3 singular	integrates; unifies		right_only
ekodibhāvita	causative past participle adjective	made unified; brought to integration	ekodihoti	right_only
ekodihoti	present 3 singular	is or becomes integrated, unified; is apart		right_only
enījaṅgha	adjective	with legs like the black antelope’s (one of the 32 characteristics of a mahāpurisa)		right_only
eṇeyyajaṅgha	adjective	with legs like the black antelope’s		right_only
etageha	adjective	having longings for this, desiring this	eta(d)	right_only
etadatthiya	adjective	having this purpose; useful for this	eta(d)	right_only
etadantika	adjective	having this as an end, having an end here; ending thus	eta(d)	right_only
etadohi	indeclinable	this as limit; to this limit, as far as this	eta(d)	right_only
etaparamaṃ	accusative adverb	as well as, only as well as, on as much as	etaparama	right_only
etādisikā	adjective (feminine)	such (a), of such a kind		right_only
etāvat	adjective	so great, of such extent		right_only
etāva	adjective	so great, of such extent		right_only
etāvataparama	adjective	having such as its highest limit, i.e. only as good as such, only so great	etāva(t)	right_only
etāvataparamaṃ	accusative adverb	only to such an extent, only as greatly	etāvataparama	right_only
etena upāyena	phrase	in this way, thus; by this means	upāya	right_only
ettakaṃ	accusative adverb	so much; so long	ettaka	right_only
ettakena	instrumental	by so much; to such an extent	ettaka	right_only
ena	adjective pron	him, her, it (referring to someone or something already mentioned); this, that; this one		right_only
em	indeclinable	so; in this way		right_only
erakavattika	neuter	a kind of torture		right_only
eragu	neuter	a kind of grass		right_only
eraṇdatela	neuter	castor oil		right_only
eraṇdakatela	neuter	castor oil		right_only
erayati	causative present 3 singular	(also ereti) makes move, stirs; makes sound; raises one’s voice	['īrati', 'iriyati']	right_only
erayita	past participle adjective	spoken, uttered	['īrati', 'erayati']	right_only
elagalavāca	adjective	whose speech is accompanied by the dripping of saliva		right_only
eḷakacamma	neuter	sheep’s skin; goat’s skin	eḷaka	right_only
elakapādaka	adjective	supported on a block (like a threshold stone) or with feet shape like those of a ram		right_only
eḷakasamāna	adjective	like sheep or goats	eḷaka	right_only
eḷakā	feminine	an ewe; a female goat; a nanny-goat	eḷakī	right_only
eḷakī	feminine	an ewe; a female goat; a nanny-goat	eḷakā	right_only
evaṃkāri	adjective	acting this way	evaṁ	right_only
evaṃgata	adjective	in such a state; of such a kind	evaṁ	right_only
evaṃgatika	adjective	producing or having a future course of this kind	evaṁ	right_only
evaṃjacca	adjective	of such and such a class; of this kind of family	evaṁ	right_only
evaṃdiṭṭhika	adjective	holding such a belief, having such a theory	evaṁ	right_only
evaṃdiṭṭhi	adjective	holding such a belief, having such a theory	evaṁ	right_only
evaṃbhāvi	adjective	certain to become like this	evaṁ	right_only
evaṃvādi	adjective	professing such a doctrine; declaring a view like this	evaṁ	right_only
evaṃvihāri	adjective	living in such a state or way	evaṁ	right_only
evaṃvihitaka	adjective	determined, effected in this way	evaṁ	right_only
evaṃsaññi	adjective	perceiving in this way; of such awareness or perception	evaṁ	right_only
evaṃsaddha	adjective	having such a reputation	evaṁ	right_only
evadassī	adjective	seeing in this way; having such insight		right_only
evadassi	adjective	seeing in this way; having such insight		right_only
evam eva	phrase	just so, just like that	eva	right_only
evācāra	adjective	of such behavior, of such conduct		right_only
ehibhadantika	adjective (masculine)	(one) who accepts an invitation (to take alms)		right_only
ehibhikkhunī	feminine	one ordained by the formula “ehi bhikkhunī”, i.e. “come, nun!”		right_only
ehisāgatavādī	adjective	welcoming: saying “come, you are welcome”	ehisvāgatavādi(n)	right_only
ehisāgatavādi	adjective	welcoming: saying “come, you are welcome”	ehisvāgatavādi(n)	right_only
ehisvāgatavādī	adjective	welcoming: saying “come, you are welcome”	ehisāgatavādi(n)	right_only
ehisvāgatavādi	adjective	welcoming: saying “come, you are welcome”	ehisāgatavādi(n)	right_only
okacara	masculine	a decoy deer; a tame animal	oka	right_only
okacārikā	feminine	a tame animal; a tamed and trained female deer	oka	right_only
okañjaha	adjective	leaving home, abandoning a house; without resort	oka	right_only
okaḍḍhati	present 3 singular	drags away, drags off		right_only
okapuṇṇa	adjective	soaked with water		right_only
okappanīya	future passive participle adjective	to believe; to trust		right_only
okamokato	indeclinable	from its home, the water; from a watery home	oka-m-okata	right_only
okassa	indeclinable	dragging down or away; roughly, forcibly	okkassa	right_only
okasāri	adjective	frequenting a house; keeping to a refuge	oka	right_only
okkassayati	present 3 singular	draws down or out		right_only
okāsaṃ kārāpeti	phrase	causes to give an opportunity; obtains consent; gains permission (especially to speak)	okāsa	right_only
okāsaṃ kāreti	phrase	causes to give an opportunity; obtains consent; gains permission (especially to speak)	okāsa	right_only
okiṇṇavikiṇṇa	adjective	covered and filled with	okiṇṇa	right_only
okiriṇi	adjective (feminine)	(according to commentary) spotted, spattered		right_only
okirīyati	passive present 3 singular	is bestrewn, covered (with); extends in various directions	okirati	right_only
okilinī	adjective (feminine)	(according to commentary) discharging; exuding moisture		right_only
okkantati	present 3 singular	cuts, cuts off; cuts up	okantati	right_only
okkamayati	causative present 3 singular	moves into, enters	['okkameti', 'okkamati']	right_only
okkameti	causative present 3 singular	moves into, enters	['okkamayati', 'okkāmeti', 'okkamati']	right_only
okkameti	causative present 3 singular	(causative present 3 singular) makes go up; makes move away	['okkamayati', 'okkāmeti', 'okkamati']	right_only
okkamaniya	adjective	connected with going astray (or going down); or to be abandoned		right_only
okkamita	masculine	one who moves into, enters		right_only
okkalā	masculine plural	(also ukkalā) the inhabitants of the country Ukkala (modern day Orissa)		right_only
okkassa	indeclinable	dragging down or away; roughly, forcibly	okassa	right_only
okkādhara	masculine	torch bearer		right_only
okkhāyati	present 3 singular	is seen or known, is visible, appears		right_only
okkhittacakku	adjective	with eyes cast down; with eyes under control	okkhitta	right_only
okhittapaligha	adjective	with crossbars put down (into position)	okkhitta	right_only
ogaṇa	adjective	consisting of a small company; accompanied by a small (or no) company		right_only
ogamana	neuter	going down; setting	oggamana	right_only
ogahana	neuter	a bathing place; a ford		right_only
ogādhappatta	adjective	having gained firm footing		right_only
ogāhamuttiṇṇa	adjective	emerged from the bathing place	ogāha	right_only
ogilituṃ	indeclinable	swallows, swallows down	ogilati	right_only
oguṇṭhitvā	indeclinable	covering (the head); veiling	oguṇṭheti	right_only
ogumpheti	present 3 singular	winds round, weaves round; ties together		right_only
oggacchati	present 3 singular	goes down, descents; goes lower, sets	ogacchati	right_only
oggamana	neuter	going down; setting	ogamana	right_only
oghatama	neuter	darkness of the flood(s)	ogha	right_only
oghatara	adjective	crossing the torrent or flood	ogha	right_only
oghana	neuter	a pushing downwards, downwards pressure; a thick or dense entanglement		right_only
oghātiga	adjective	going beyond or crossing the flood(s)	ogha	right_only
ocinati	present 3 singular	gathers, picks; collects; accumulates; increases, strengthens	ocināti	right_only
ojaṭṭhāyī	adjective	resting on or supported by its vigor or vitality	ojā	right_only
ojaṭṭhāyi	adjective	resting on or supported by its vigor or vitality	ojā	right_only
ojavat	adjective	vigorous, strong; sappy; juicy	ojā	right_only
ojava	adjective	vigorous, strong; sappy; juicy	ojā	right_only
ojāpaharaṇa	adjective (f. ~ī)	robbing of strength or vitality		right_only
oñāta	adjective	despised; underrated	oññāta	right_only
oññāta	adjective	despised; underrated	oñāta	right_only
oṭṭhavacittaka	masculine	a kind of bird (according to commentary named from its song)		right_only
oṭṭhubhati	present 3 singular	spits (on)		right_only
oḍḍayati	present 3 singular	ties, strings up; lays out, fixes (a snare or noose or net); lays out, presents (as a trap, or to mislead)	['oḍḍeti', 'uḍḍeti']	right_only
oṇata	past participle adjective	who has bent down, bowed	['onamati', 'onata']	right_only
oṇatoṇata	adjective	low (in birth) and low (in moral behavior), who begins low and stays low	onatonata	right_only
oṇamana	neuter & ~ā feminine	bending own, bowing; sinking	onamana	right_only
oṇirakkha	masculine	one who watches over a charge, who guards what has been entrusted to him		right_only
oṇīta	past participle adjective	(also onīta) put into water; washed; (according to commentaries) removed; put away	['apaneti', 'onīyati']	right_only
oṇojana	neuter	giving formally	onojana	right_only
oṇojeti	present 3 singular	ours water ritually (over the hands) in giving a gift; gives formally	onojeti	right_only
otata	adjective	overspread; covered		right_only
otappati	present 3 singular	is heated; becomes warm		right_only
otomasika	adjective (masculine)	(one) who is in the dark		right_only
otāpayati	present 3 singular	warms; warms in the sun, dries; puts (in the sun) to dry	otāpeti	right_only
otārayati	present 3 singular	causes to descend, makes go down (into), fetc.hes down; lets down, lowers, puts down; takes down, removes; makes appear, puts forward; makes alight	['otāreti', 'otarati']	right_only
otārāpekkha	adjective	looking for an opening; longing for a weak point	otārā	right_only
ottapati	present 3 singular	feels ashamed or bashful; is afraid (of doing wrong); is scrupulous (to avoid, with instrumental, genitive, and, rarely, accusative); (also ottappati)	ottappati	right_only
ottappiya	neuter	fear (of wrong doing)		right_only
ottāpa	masculine	shame, fear (of doing wrong)		right_only
ottāpi	adjective	fearful (of doing wrong); scrupulous (in avoiding wrong-doing or blame)		right_only
ottharaka	neuter	a kind of sieve or filter (?)	ottharika	right_only
ottharika	neuter	a kind of sieve or filter (?)	ottharaka	right_only
ottharāpetvā	absolutive	having caused (something) to be overwhelmed or crushed or submerged	ottharati	right_only
odanapāka	adjective	cooking of rice	odana	right_only
odaniyaghara	neuter	a rice seller’s house; a cooked rice shop		right_only
odapattakinī	adjective (feminine)n	(a wife) married with a ritual involving a bowl of water		right_only
odariya	adjective	gluttonous; caring only for one’s stomach	odarika	right_only
odātaka	adjective & neuter	clean; white; pale; a white garment		right_only
odhārita	adjective	determined; affirmed; stated with assurance		right_only
odheti	present 3 singular	places (in); lays down; applies; directs, especially ~ati sotaṁ, gives ear attentively	odahati	right_only
onatonata	adjective	low (in birth) and low (in moral behavior), who begins low and stays low	oṇatoṇata	right_only
onameti	causative present 3 singular	makes bow; bends down (transitive); lowers	onāmeti	right_only
onahati	present 3 singular	covers; stretc.hes over (transitive)	['onandhati', 'onayhati']	right_only
onāha	masculine	covering; shrouding		right_only
onītapattapāṇi	adjective	with hands and bowl rinsed	onīta	right_only
onīyati	present 3 singular	is led down or away; is put into water, has water poured over it		right_only
opatitvā	absolutive	having flow down; fell down; fell on (to)		right_only
opadhika	adjective	connected with material acquisitions and attachment; (according to commentaries) forming a basis for rebirth		right_only
opapakkhi	adjective	rejected, despised; or rejects, insults		right_only
opapakkhiṅkaroti	adjective	rejected, despised; or rejects, insults		right_only
opabhogga	adjective	to be used or enjoyed		right_only
opayati	causative present 3 singular	throws into, heaps up (in)	opeti	right_only
opavuyha	adjective	serving for riding; an animal for riding; a king’s elephant	opavayha	right_only
opasamika	adjective	bringing clam, leading to tranquility		right_only
opāṭeti	present 3 singular	splits; tears apart		right_only
opātetabba	future passive participle adjective	will prompt; will interrupt	opatati	right_only
opānabhūta	adjective	being like a pool or well; ever generous, satisfying		right_only
opilavati	present 3 singular	plunges into (intrans.), sinks		right_only
opuñchāpetvā	absolutive	having made caused someone to wipe	opuñjapetvā	right_only
opuñchitvā	absolutive	having wiped; wiped over (with); smeared	opuñjitvā	right_only
